| Deaths | Date | Incident | Location |
| --- | --- | --- | --- |
| 26,000–240,000 | 8 August 1975 | Failure of Banqiao Dam and 60 other dams in Ru River basin.[41] Figure includes subsequent diseases and hunger-related deaths. | Zhumadian, China |
| 20,000+ | AD 27 | Amphitheater collapse | Fidenae, Italy |
| 11,300 | 11 September 2023 | 2023 Derna dam collapse | Derna, Libya |
| 1,800–25,000 | 11 August 1979 | 1979 Machchhu dam failure | Morbi, India |
| 2,208 | 31 May 1889 | Johnstown Flood | Johnstown, Pennsylvania, United States |
| 1,134 | 24 April 2013 | Rana Plaza collapse | Savar Upazila, Bangladesh |
| 1,000+ | 19 August 1917 | Tigra Dam failure | Gwalior, India |
| 1,000 | 12 July 1961 | Panshet Dam failure[42] | Pune, India |
| 941 | 3 May 1868 | Iruka Lake Dam failure | Inuyama, Japan |
| 500–1500 | 20 September 1807 | Eitai Bridge collapse | Tokyo, Japan |
| 608 | 30 April 1802 | Puentes dam collapsed flooding | Lorca, Spain |
| 502 | 29 June 1995 | Sampoong Department Store collapse | Seoul, South Korea |
| 400–600+ | 12 March 1928 | St. Francis Dam failure | Los Angeles County, California, United States |
| 423 | 2 December 1959 | Malpasset Dam failure | Fréjus, France |
| 356 | 1 December 1923 | Gleno Dam failure | Bergamo, Italy |
| 250–434 | 18 August 2008 | Koshi Barrage failure | Koshi River, Nepal |
| 270+ | 25 January 2019 | Failure of tailings dam on Córrego do Feijão iron ore mine[43] | Brumadinho, Minas Gerais, Brazil |
| 268 | 19 July 1985 | Val di Stava dam collapse | Tesero, Italy |
| 244 | 11 March 1864 | Dale Dike Reservoir dam failure | Sheffield, England, United Kingdom |
| 238 | 10 June 1972 | Dam failure caused by 1972 Black Hills flood | Rapid City, South Dakota, United States |
| 231 | 8 April 2025 | Jet Set nightclub roof collapse | Santo Domingo, Dominican Republic |
| 107–500 | 1 May 1966 | Dam failure[44][45] | Vratsa, Bulgaria |
| 226 | 16 April 1850 | Angers Bridge collapse | Angers, France |
| 200+ | 31 October 2017 | Punggye-ri Nuclear Test Site tunnel collapse | North Korea |
| ~200 | 20 January 1980 | Collapse of wooden bleachers at Corralejas bullring/stadium[46] | Sincelejo, Colombia |
| 169 | 17 November 1981 | Manila Film Center collapse | Pasay, Philippines |
| ~160 | 10 December 2016 | Uyo church collapse | Uyo, Nigeria |
| 150+ | 10 September 2024 | Alau Dam collapse | Borno State, Nigeria |
| 148+ | 24 August 2024 | Arbaat Dam collapse | Port Sudan, Sudan |
| 120–180 | 20 April 1986 | Kantale Dam failure | Kantale, Sri Lanka |
| 145 | 10 January 1860 | Pemberton Mill collapse | Lawrence, Massachusetts, United States |
| 144 | 9 January 1959 | Vega de Tera disaster | Ribadelago, Spain |
| 141 | 30 October 2022 | 2022 Morbi bridge collapse | Morbi, India |
| 140 | 19 November 1974 | Makahali River bridge collapse | Baitadi, Nepal |
| 139 | 16 May 1874 | Mill River dam failure | Williamsburg, Massachusetts, United States |
| 139 | 13 September 1976 | Apartment building collapse | Karachi, Pakistan |
| 135 | 13 August 1993 | Collapse of the Royal Plaza Hotel | Nakhon Ratchasima, Thailand |
| 128 | 28 July 1983 | Guavio hydroelectric project dam collapse | Bogotá, Colombia |
| 125 | 26 February 1972 | Buffalo Creek flood | Logan County, West Virginia, United States |
| 125 | 8 November 1984 | Rope bridge collapse | Munnar, India |
| 120 | 1 February 1942 | Nuns' school chapel collapse | Biblian, Ecuador |
| 117 | 1951 | Heiwa Lake Dam failure | Kameoka, Japan |
| 115 | 12 September 2014 | 2014 Synagogue Church Building Collapse | Lagos State, Nigeria |
| 114 | 17 July 1981 | Hyatt Regency walkway collapse | Kansas City, Missouri, United States |
| 111 | 11 September 2015 | Mecca crane collapse | Masjid al-Haram, Mecca, Saudi Arabia |
| 111 | 13 August 1935 | Dam failure | Molare, Italy |
| 108 | 1951 | Taisho Lake Dam failure | Ide, Japan |
| 100+ | 1 December 2000 | Dongguan Mall collapse[47][48] | Dongguan, China |
| 100 | 21 February 1890 | Walnut Grove Dam failure | Wickenburg, Arizona, United States |
| 100 | 16 June 1990 | Saque Comprehensive College collapse | Port Harcourt, Nigeria |

Accidents with at least 200 deaths.

| Deaths | Date | Incident | Location |
| --- | --- | --- | --- |
| 2,000–3,000 | 8 December 1863 | Church of the Company Fire | Santiago, Chile |
| 1,700–2,845+[49] | 2 September 1949 | Chongqing Waterfront Fire – "9–2 Fire" | Chongqing, China |
| 1,670 | 25 May 1845 | Theater fire | Canton, China |
| 900 | June 1871 | Theater fire | Shanghai, China |
| 800 | 30 December 1836 | Lehman Theater fire | St. Petersburg, Russia |
| 694 | 18 February 1977 | Xinjiang 61st Regiment Farm fire | Xinjiang, China |
| 658 | 13 February 1937 | Antoung Movie Theater fire | Nantong, China |
| 614 | 26 February 1918 | Happy Valley Racecourse fire | Hong Kong |
| 602 | 30 December 1903 | Iroquois Theatre fire | Chicago, Illinois, United States |
| 600 | 20 May 1872 | Theater fire | Tientsin, China |
| 538 | 23 December 1995 | Dayananda Anglo Vedic private school fire | Mandi Dabwali, Haryana, India |
| 530 | 17 March 2000 | Kanungu church fire | Kanungu, Uganda |
| 500 | 17 December 1961 | Gran Circus Norte-Americano– Niterói circus fire | Niterói, Rio de Janeiro, Brazil |
| 492 | 28 November 1942 | Cocoanut Grove fire | Boston, Massachusetts, United States |
| 448 | 8 December 1881 | Ringtheater fire | Vienna, Austria |
| 430 | 13 January 1883 | Circus Ferroni fire | Berdichev, Ukraine |
| 400 | 17 December 1778 | Coliseo theater fire | Zaragoza, Spain |
| 396 | 1 August 2004 | Paraguay supermarket fire | Asunción, Paraguay |
| 377–470+ | 19 August 1978 | Cinema Rex fire | Abadan, Iran |
| 360 | 14 February 2012 | Comayagua prison fire | Comayagua, Honduras |
| 326+ | 30 June 1900 | 1900 Hoboken Docks fire | Hoboken, New Jersey, United States |
| 324 | 10 December 1994 | 1994 Karamay fire | Karamay, China |
| 322 | 21 April 1930 | Ohio Penitentiary fire | Columbus, Ohio, United States |
| 322 | 22 May 1967 | L'Innovation Department Store fire | Brussels, Belgium |
| 312 | 27 March 1910 | Barn fire | Ököritófülpös, Hungary |
| 309 | 25 December 2000 | Dongdu Commercial shopping center fire | Luoyang, China |
| 291 | 29 December 2001 | Mesa Redonda fire | Lima, Peru |
| 289 | 28 October 1995 | 1995 Baku Metro fire | Baku, Azerbaijan |
| 289 | 11 September 2012 | 2012 Karachi garment factory fire | Karachi, Pakistan |
| 278+ | 5 December 1876 | Brooklyn Theatre fire | Brooklyn, New York, United States |
| 250 | 15 February 1909 | Flores Theater fire | Acapulco, Mexico |
| 242 | 27 January 2013 | Kiss nightclub fire in Santa Maria | Rio Grande do Sul, Brazil |
| 234 | 27 November 1994 | Discothèque fire | Fuxin, China |
| 225 | 14 July 1960 | Mental hospital fire | Guatemala City, Guatemala |
| 209 | 23 April 1940 | Rhythm Club fire | Natchez, Mississippi, United States |
| 208 | 6 March 1943 | Hoteiza theater fire | Kucchan, Japan |
| 200 | 1847 | Carslruhe theater fire | St. Petersburg, Russia |

Accidents with at least 3 deaths.

| Deaths | Date | Attraction | Amusement park | Location |
| --- | --- | --- | --- | --- |
| 28+ | 25 May 2024 | TRP Game Zone _(entire facility affected)_; fire at indoor theme park | TRP games food entertainment | Rajkot, Gujarat, India[50][51] |
| 28 | 14 February 2004 | Transvaal Park _(entire facility affected)_; the roof of the indoor water park collapsed | Transvaal Park | Yasenevo, Moscow, Russia[52] |
| 15 | 27 June 2015 | Formosa Fun Coast music stage; a dust explosion on a music stage; over 400 others injured | Formosa Fun Coast | Bali, New Taipei, Taiwan[53] |
| 8 | 11 May 1984 | Haunted Castle; a fire caused by a cigarette lighter igniting the flammable foam-rubber walls of the facility | Six Flags Great Adventure | Jackson Township, New Jersey, United States[54] |
| 7 | 9 June 1979 | Ghost Train; a fire at the park's ghost train ride caused by either faulty wiring or sabotage | Luna Park Sydney | Sydney, Australia[55] |
| 7 | 14 August 1981 | Skylab; a crane collided with the Skylab carousel; fifteen injured | Hamburger Dom | Hamburg, (Germany)[56][57] |
| 6 | 13 August 1944 | Virginia Reel; a fire at the facility; 125 injured | Palisades Amusement Park | Cliffside Park-Fort Lee, New Jersey, United States[58] |
| 6 | 29 June 2010 | Eco-Adventure Valley Space Journey; a malfunction at a rocket launch ride; ten injured | OCT East | Yantian District, Shenzhen, Guangdong, China[59] |
| 5 | 30 May 1972 | Big Dipper; the roller coaster broke free from its haulage rope; thirteen injured | Battersea Park | Battersea, London, England[60] |
| 5 | 13 August 2007 | Section of Ferris wheel failed causing people to fall. | World Carnival Busan | Busan, South Korea[61] |
| 5 | 23 June 2017 | Kuzuluk Aquapark swimming pool; five people died after being electrocuted in the swimming pool | Kuzuluk Aquapark | Akyazi, Turkey[62] |
| 4 | 24 July 1930 | Big Dipper; a bolt came loose from the roller coaster; seventeen injured | Krug Park | Omaha, Nebraska, United States[63][64] |
| 4 | 25 October 2016 | Thunder River Rapids Ride; one of the rafts at the ride flipped upside down and became wedged under a conveyor belt | Dreamworld | Gold Coast, Queensland, Australia[65] |
| 3 | 14 June 1986 | Mindbender; one of the roller coaster carriages failed and crashed into a concrete pillar | Galaxyland | Edmonton, Alberta, Canada[66] |
| 3 | 26 July 1978 | Skyway; a gondola detached from its cable and plunged to the ground | Six Flags St. Louis | Eureka, Missouri, United States[67] |

Accidents with at least 100 deaths. These incidents may be variably referred to as crushes or panics.

| Deaths | Date | Incident | Location |
| --- | --- | --- | --- |
| 6,000 | 29 March 1809 | Porto Boat Bridge disaster in Porto. Civilians fleeing the advancing French army tried to cross the Douro river over a fragile pontoon bridge, which collapsed.[_citation needed_] | Portugal |
| 4,000 | 5 June 1941 | Mass panic at air raid shelter, during Japanese bombing of Chongqing, most deaths caused by suffocation. | Chongqing, China |
| 2,400+ | 24 September 2015 | 2015 Mina stampede en route to the Stoning of the Devil ritual | Mina, Mecca, Saudi Arabia |
| 1,426 | 3 July 1990 | 1990 Mecca tunnel tragedy inside a pedestrian tunnel | Mina, Mecca, Saudi Arabia |
| 1,389 | 30 May 1896 | Khodynka Tragedy at coronation of Nicholas II (Moscow, 1896) | Khodynka Field, Moscow, Russia |
| 953 | 31 August 2005 | 2005 Al-Aaimmah bridge stampede (note: because the stampede was triggered by reports of a bombing, this figure is also included in the higher estimate for casualties of the War in Iraq) | Baghdad, Iraq |
| 800 | 3 February 1954 | 1954 Prayag Kumbh Mela stampede, crowd crush at religious festival | Allahabad, Uttar Pradesh, India |
| 363 | 12 January 2006 | 2006 Hajj stampede | Mina, Mecca, Saudi Arabia |
| 357 | 22 November 2010 | Phnom Penh stampede | Phnom Penh, Cambodia |
| 354 | 23 October 1942 | Crowd crush during an attack by the RAF Bomber Command in World War II as they made their way into Galleria delle Grazie, a railway tunnel used as an air-raid shelter. | Genoa, Italy |
| 328 | 24 May 1964 | Estadio Nacional disaster | Lima, Peru |
| 270 | 23 May 1994 | 1994 Hajj stampede | Mina, Mecca, Saudi Arabia |
| 258 | 25 January 2005 | Mandher Devi temple stampede | Wai, Maharashtra, India |
| 251 | 1 February 2004 | 2004 Hajj stampede | Mina, Mecca, Saudi Arabia |
| 245 | 11 October 1711 | Bridge stampede | Lyon, France |
| 224 | 30 September 2008 | 2008 Jodhpur stampede disaster in Chamunda Devi temple | Jodhpur, India |
| 183 | 16 June 1883 | Victoria Hall theatre stairway crush | Sunderland, England |
| 173 | 3 March 1943 | Bethnal Green tube station panic | London, England |
| 162 | 3 August 2008 | Naina Devi Temple stampede | Bilaspur, Himachal Pradesh, India |
| 159 | 29 October 2022 | Seoul Halloween crowd crush | Seoul, South Korea |
| 135 | 1 October 2022 | 2022 Kanjuruhan Stadium disaster | Malang, East Java, Indonesia |
| 130 | 23 November 1994 | 1994 Gowari stampede in Maharashtra State Legislature building | Nagpur, Maharastra, India |
| 126 | 9 May 2001 | Accra Sports Stadium disaster | Accra, Ghana |
| 124 | 1 January 1956 | 1956 Yahiko Shrine Stampede: New Year event stampede at Yahiko Shrine | Yahiko, Niigata, Japan |
| 123 | 2 July 2024 | 2024 Hathras crowd crush: A crowd crush caused by overcrowding during a satsang | Hathras district, Uttar Pradesh, India |
| 118 | 9 April 1998 | 1998 Hajj stampede | Mina, Mecca, Saudi Arabia |
| 115 | 19 September 1902 | Shiloh Baptist Church stampede | Birmingham, Alabama |
| 115 | 13 October 2013 | 2013 Madhya Pradesh stampede | Ratangarh, India |
| 110 | 11 February 1823 | Carnival tragedy of 1823 | Valletta, Malta |
| 106 | 14 January 2011 | 2011 Sabarimala crowd crush, broken out during an annual pilgrimage | Sabarimala, Kerala, India |
| 105-200+ | 1–2 September 2024 | 2024 Makala jailbreak attempt: At least 129 (200+ per AP) people were killed while attempting to escape the Makala Central Prison. 24 were fatally shot | Selembao, Kinshasa, Democratic Republic of the Congo |
| 105 | 10 October 1991 | Yingze Park lantern festival stampede | Taiyuan, Shanxi, China |

Accidents with at least 10 deaths. This list does not include aviation or other transport accidents involving sporting teams traveling to or from a sporting event.

| Deaths | Date | Incident | Location |
| --- | --- | --- | --- |
| 1,300 | Between 284 and 286 AD | Collapse of a wall of Circus Maximus | Rome[68] |
| 1,112 | 140 AD | Collapse of the upper tier of the Circus Maximus | Rome[69] |
| 614 | 26 February 1918 | Happy Valley Racecourse fire | Happy Valley, Hong Kong |
| 328 | 24 May 1964 | Estadio Nacional disaster | Lima, Peru[70] |
| ~200 | 20 January 1980 | Collapse of wooden bleachers at Corralejas bullring | Sincelejo, Sucre, Colombia[46] |
| 135 | 1 October 2022 | 2022 Kanjuruhan Stadium disaster | Malang, East Java, Indonesia |
| 127 | 9 May 2001 | Accra Sports Stadium disaster | Accra Sports Stadium, Accra, Ghana |
| 97 | 15 April 1989 | Hillsborough stadium crush | Sheffield, England |
| 93 | 12 March 1988 | Hailstorm & Stadium crush | Kathmandu, Nepal[71] |
| 83 | 16 October 1996 | Doroteo Guamuch Flores disaster, stadium crowd crush | Guatemala City, Guatemala |
| 82 | 11 June 1955 | 1955 Le Mans disaster, motor racing accident | Le Mans, France |
| 79 | 1 February 2012 | Port Said Stadium disaster | Port Said, Egypt |
| 71 | 23 June 1968 | Puerta 12 crush | Buenos Aires, Argentina[72] |
| 66 | 2 January 1971 | Second Ibrox stadium disaster, stairway crowd crush | Glasgow, Scotland |
| 66 | 20 October 1982 | Luzhniki disaster, stairway crowd crush | Moscow, USSR[73] |
| 61 | 1 January 2013 | 2013 Félix Houphouët-Boigny Stadium Disaster | Abidjan, Ivory Coast |
| 56–140[74] | 1 December 2024 | 2024 Nzérékoré stampede | Nzérékoré, Guinea |
| 56 | 11 May 1985 | Bradford City stadium fire | Bradford, England |
| 43 | 17 September 1967 | Kayseri Atatürk Stadium disaster football stadium hooliganism | Kayseri, Central Anatolia, Turkey |
| 43 | 11 April 2001 | Ellis Park Stadium disaster, football match crush | Johannesburg, South Africa |
| 42 | 13 January 1991 | Oppenheimer Stadium disaster, football match crush | Orkney, South Africa |
| 39 | 29 May 1985 | Heysel Stadium disaster football stadium hooliganism | Brussels, Belgium |
| 32 | 3 October 2014 | 2014 Patna stampede | Patna, Bihar, India |
| 33 | 9 March 1946 | Burnden Park disaster | Bolton, England |
| 28 | 9 September 1928 | 1928 Italian Grand Prix, Emilio Materassi and 27 spectators killed when the driver crashed into a grandstand | Monza, Italy |
| 26 | 5 April 1902 | First Ibrox stadium disaster, terracing collapse | Glasgow, Scotland |
| 22–24 | 15 November 1982 | Drunken football fans provoked a stampede at Deportivo Cali vs. América de Cali at Estadio Olímpico Pascual Guerrero | Cali, Colombia[75][76] |
| 22 | 29 November 1900 | Thanksgiving Day Disaster: Spectators on the roof of a glass factory observing the Big Game college football game caused roof to collapse. | San Francisco, US[77] |
